idestacao,uf,codibge,cidade,nomeestacao,ultimovalor,datahoraUltimovalor,acc1hr,acc3hr,acc6hr,acc12hr,acc24hr,acc48hr,acc72hr,acc96hr,tipoestacao,status
9830,SP,3509502,CAMPINAS,Barão Geraldo,0,24/07/26 02:10,-,-,-,-,-,-,-,-,3,0
4068,SP,3529401,MAUÁ,Vila Carlina,0,24/07/26 20:50,-,-,-,0.2,0.6,1.8,1.8,1.8,1,0
3474,SP,3510500,CARAGUATATUBA,Jaraguá,0,24/07/26 20:30,-,-,-,-,-,-,-,-,1,0
8138,SP,3557303,ESTIVA GERBI,Centro,0,24/07/26 20:50,0.2,3.6,6,13.2,17.2,17.2,17.2,17.2,1,0
3485,SP,3550704,SÃO SEBASTIÃO,Camburi,0.2,24/07/26 20:20,0.2,0.4,0.4,2.37,8.11,8.11,8.11,8.11,1,0
3871,SP,3537206,PEDRO DE TOLEDO,Centro,0,24/07/26 11:10,-,-,-,-,-,2.6,2.6,2.6,1,0
4370,SP,3523909,ITU,Vila Leis,0,24/07/26 20:10,-,-,-,0.2,4.14,5.92,5.92,5.92,1,0
7243,SP,3522307,ITAPETININGA,Rechan,0,23/07/26 13:00,-,-,-,-,-,-,-,-,1,0
7694,SP,3524709,JAGUARIÚNA,Delegacia de Policia,0.2,24/07/26 20:30,0.4,1.8,2.8,7.6,8,8,8,8,1,0
13673,SP,3548708,SÃO BERNARDO DO CAMPO,ETA Rio Grande,0.2,24/07/26 20:50,0.2,0.2,0.2,0.6,0.6,2.6,2.6,2.6,10,0
4177,SP,3550308,SÃO PAULO,José Bonifácio,0,24/07/26 20:20,-,-,-,-,-,1.2,1.2,1.2,1,0
3852,SP,3520426,ILHA COMPRIDA,Balneário Meu Recanto,0,23/07/26 18:20,-,-,-,-,-,-,-,-,1,0
3895,SP,3548500,SANTOS,Sitio das Neves,0,23/05/26 04:10,-,-,-,-,-,-,-,-,1,0
4357,SP,3515707,FERRAZ DE VASCONCELOS,Centro,0,24/07/26 20:50,-,-,-,-,-,1.19,1.19,1.19,1,0
